Date,Open,High,Low,Close,Adj Close,Volume
28/11/2016,272.916565,272.916565,267.954437,270.435486,207.139099,2159964
29/11/2016,270.435486,275.397614,267.954437,272.916565,209.03949,9214409
30/11/2016,272.916565,275.397614,267.954437,270.435486,207.139099,1590247
01/12/2016,270.435486,272.916565,270.435486,272.916565,209.03949,1885686
02/12/2016,277.878662,277.878662,270.435486,272.916565,209.03949,1325844
05/12/2016,272.916565,275.397614,272.916565,275.397614,210.93985,1333905
06/12/2016,272.916565,272.916565,270.435486,272.916565,209.03949,747462
07/12/2016,270.435486,275.397614,267.954437,270.435486,207.139099,1918938
08/12/2016,272.916565,275.397614,270.435486,275.397614,210.93985,3826590
09/12/2016,272.916565,277.878662,270.435486,270.435486,207.139099,4046053
13/12/2016,270.435486,272.916565,267.954437,272.916565,209.03949,2722022
14/12/2016,272.916565,275.397614,270.435486,270.435486,207.139099,1065673
15/12/2016,267.954437,270.435486,265.473389,267.954437,205.23877,4469461
16/12/2016,267.954437,275.397614,267.954437,272.916565,209.03949,606797
19/12/2016,267.954437,270.435486,265.473389,267.954437,205.23877,1074339
20/12/2016,267.954437,272.916565,267.954437,267.954437,205.23877,788171
21/12/2016,267.954437,272.916565,267.954437,267.954437,205.23877,551377
22/12/2016,267.954437,277.878662,250.587021,255.549133,195.736954,10711350
23/12/2016,262.99231,262.99231,253.068085,253.068085,193.836609,5743916
27/12/2016,255.549133,255.549133,253.068085,253.068085,193.836609,3525509
28/12/2016,253.068085,260.511261,253.068085,255.549133,195.736954,2182736
29/12/2016,258.030182,265.473389,258.030182,262.99231,201.438019,2164599
30/12/2016,258.030182,267.954437,255.549133,258.030182,197.637283,4527299
02/01/2017,258.030182,258.030182,258.030182,258.030182,197.637283,0
03/01/2017,258.030182,260.511261,253.068085,253.068085,193.836609,764794
04/01/2017,253.068085,258.030182,253.068085,255.549133,195.736954,1735145
05/01/2017,258.030182,260.511261,253.068085,255.549133,195.736954,11703064
06/01/2017,258.030182,265.473389,258.030182,265.473389,203.338409,2872966
09/01/2017,265.473389,265.473389,260.511261,262.99231,201.438019,3771574
10/01/2017,262.99231,262.99231,258.030182,260.511261,199.537704,2897552
11/01/2017,260.511261,262.99231,258.030182,258.030182,197.637283,1710962
12/01/2017,258.030182,262.99231,255.549133,262.99231,201.438019,6645346
13/01/2017,260.511261,275.397614,260.511261,267.954437,205.23877,16985887
16/01/2017,267.954437,270.435486,267.954437,267.954437,205.23877,2412275
17/01/2017,267.954437,272.916565,267.954437,267.954437,205.23877,2280678
18/01/2017,267.954437,275.397614,267.954437,270.435486,207.139099,8200931
19/01/2017,272.916565,275.397614,270.435486,275.397614,210.93985,1904831
20/01/2017,267.954437,272.916565,267.954437,267.954437,205.23877,10079765
23/01/2017,267.954437,275.397614,267.954437,272.916565,209.03949,3254254
24/01/2017,275.397614,275.397614,270.435486,272.916565,209.03949,1397386
25/01/2017,275.397614,275.397614,270.435486,272.916565,209.03949,613447
26/01/2017,272.916565,275.397614,270.435486,275.397614,210.93985,5047641
27/01/2017,275.397614,282.84079,272.916565,282.84079,216.64093,11352004
30/01/2017,282.84079,285.321838,277.878662,282.84079,216.64093,3661741
31/01/2017,277.878662,285.321838,277.878662,277.878662,212.840149,495352
01/02/2017,277.878662,277.878662,272.916565,277.878662,212.840149,1072525
02/02/2017,277.878662,285.321838,275.397614,282.84079,216.64093,2889894
03/02/2017,282.84079,285.321838,280.359741,282.84079,216.64093,6556069
06/02/2017,285.321838,290.283966,282.84079,285.321838,218.541245,6723740
07/02/2017,285.321838,287.802917,282.84079,282.84079,216.64093,1826638
08/02/2017,282.84079,287.802917,282.84079,285.321838,218.541245,1890119
09/02/2017,285.321838,285.321838,282.84079,282.84079,216.64093,653752
10/02/2017,282.84079,285.321838,277.878662,277.878662,212.840149,1800037
13/02/2017,277.878662,290.283966,270.435486,285.321838,218.541245,5808203
14/02/2017,285.321838,287.802917,282.84079,285.321838,218.541245,3758071
15/02/2017,285.321838,285.321838,285.321838,285.321838,218.541245,0
16/02/2017,285.321838,287.802917,282.84079,282.84079,216.64093,3659525
17/02/2017,282.84079,285.321838,277.878662,280.359741,214.740585,2880624
20/02/2017,282.84079,285.321838,280.359741,280.359741,214.740585,638839
21/02/2017,280.359741,285.321838,277.878662,280.359741,214.740585,2493894
22/02/2017,277.878662,287.802917,277.878662,285.321838,218.541245,3360257
23/02/2017,280.359741,285.321838,280.359741,282.84079,216.64093,981838
24/02/2017,282.84079,287.802917,272.916565,285.321838,218.541245,8957060
27/02/2017,285.321838,287.802917,280.359741,280.359741,214.740585,548959
28/02/2017,280.359741,282.84079,275.397614,280.359741,214.740585,1900196
01/03/2017,275.397614,285.321838,275.397614,275.397614,210.93985,4582316
02/03/2017,277.878662,282.84079,277.878662,277.878662,212.840149,1660177
03/03/2017,277.878662,277.878662,272.916565,272.916565,209.03949,5046835
06/03/2017,275.397614,282.84079,272.916565,272.916565,209.03949,2253271
07/03/2017,272.916565,277.878662,272.916565,275.397614,210.93985,465325
08/03/2017,275.397614,280.359741,275.397614,275.397614,210.93985,1865533
09/03/2017,275.397614,280.359741,275.397614,275.397614,210.93985,894980
10/03/2017,275.397614,277.878662,275.397614,275.397614,210.93985,914327
13/03/2017,275.397614,280.359741,272.916565,272.916565,209.03949,7005273
14/03/2017,272.916565,277.878662,272.916565,272.916565,209.03949,2524324
15/03/2017,275.397614,275.397614,272.916565,272.916565,209.03949,4002725
16/03/2017,275.397614,282.84079,275.397614,277.878662,212.840149,5852741
17/03/2017,277.878662,280.359741,275.397614,277.878662,212.840149,7701548
20/03/2017,277.878662,280.359741,272.916565,272.916565,209.03949,2286724
21/03/2017,277.878662,277.878662,272.916565,272.916565,209.03949,971963
22/03/2017,272.916565,280.359741,272.916565,272.916565,209.03949,1757716
23/03/2017,280.359741,280.359741,275.397614,277.878662,212.840149,9334318
24/03/2017,277.878662,277.878662,272.916565,272.916565,209.03949,2150290
27/03/2017,275.397614,280.359741,275.397614,275.397614,210.93985,1794193
29/03/2017,275.397614,282.84079,275.397614,277.878662,212.840149,2699048
30/03/2017,280.359741,282.84079,277.878662,280.359741,214.740585,5123415
31/03/2017,282.84079,287.802917,280.359741,280.359741,214.740585,3988819
03/04/2017,282.84079,290.283966,277.878662,282.84079,216.64093,8569524
04/04/2017,282.84079,287.802917,282.84079,282.84079,216.64093,3258285
05/04/2017,null,null,null,null,null,null
06/04/2017,285.321838,287.802917,282.84079,282.84079,216.64093,3054138
07/04/2017,282.84079,287.802917,280.359741,280.359741,214.740585,2441698
10/04/2017,280.359741,285.321838,280.359741,285.321838,218.541245,3486816
11/04/2017,285.321838,290.283966,282.84079,282.84079,216.64093,3832838
12/04/2017,285.321838,285.321838,280.359741,282.84079,216.64093,2159964
13/04/2017,282.84079,285.321838,277.878662,277.878662,212.840149,3267958
17/04/2017,277.878662,280.359741,277.878662,277.878662,212.840149,1981814
18/04/2017,282.84079,282.84079,277.878662,277.878662,212.840149,1186992
19/04/2017,277.878662,277.878662,277.878662,277.878662,212.840149,0
20/04/2017,277.878662,280.359741,277.878662,277.878662,212.840149,3331238
21/04/2017,280.359741,280.359741,272.916565,272.916565,209.03949,1751469
25/04/2017,272.916565,282.84079,272.916565,275.397614,210.93985,2094064
26/04/2017,275.397614,285.321838,275.397614,280.359741,214.740585,3656905
27/04/2017,282.84079,285.321838,277.878662,277.878662,212.840149,1279493
28/04/2017,277.878662,282.84079,277.878662,277.878662,212.840149,372421
02/05/2017,277.878662,282.84079,277.878662,277.878662,212.840149,3289521
03/05/2017,280.359741,280.359741,275.397614,277.878662,212.840149,2921332
04/05/2017,277.878662,282.84079,265.473389,267.954437,205.23877,24307558
05/05/2017,272.916565,277.878662,270.435486,277.878662,212.840149,6473645
08/05/2017,277.878662,280.359741,272.916565,275.397614,210.93985,882082
09/05/2017,275.397614,277.878662,270.435486,272.916565,209.03949,4333027
10/05/2017,277.878662,277.878662,265.473389,267.954437,205.23877,11940664
12/05/2017,267.954437,272.916565,262.99231,262.99231,201.438019,13113550
15/05/2017,262.99231,267.954437,262.99231,262.99231,201.438019,5372301
16/05/2017,262.99231,267.954437,262.99231,265.473389,203.338409,7587080
17/05/2017,265.473389,265.473389,260.511261,260.511261,199.537704,8710592
18/05/2017,260.511261,265.473389,260.511261,262.99231,201.438019,23539136
19/05/2017,262.99231,265.473389,260.511261,262.99231,201.438019,14976867
22/05/2017,265.473389,275.397614,262.99231,267.954437,205.23877,32361375
23/05/2017,267.954437,270.435486,265.473389,265.473389,203.338409,19142224
24/05/2017,265.473389,270.435486,262.99231,265.473389,203.338409,14742088
26/05/2017,265.473389,270.435486,265.473389,267.954437,205.23877,12944066
29/05/2017,265.473389,265.473389,253.068085,255.549133,205.638046,15132244
30/05/2017,258.030182,258.030182,253.068085,255.549133,205.638046,13216732
